Date,Antarctic mass(Gigatonnes)
2010-01,-803.23
2010-02,-807.45
2010-03,-688.18
2010-04,-759.94
2010-05,-780.91
2010-06,-794.11
2010-07,-998.22
2010-08,-927.15
2010-09,-848.74
2010-10,-880.52
2010-11,-901.4
2010-12,-913.5
2011-01,-1002.5
2011-02,-1019.46
2011-03,-1030.54
2011-04,-965.87
2011-05,-910.89
2011-06,-927.53
2011-07,-838.95
2011-08,-885.51
2011-09,-881.04
2011-10,-890.12
2011-11,-912.5
2011-12,-994.23
2012-01,-1148.72
2012-02,-1079.07
2012-03,-1142.04
2012-04,-1119.78
2012-05,-1058.11
2012-06,-1095.98
2012-07,-1062.92
2012-08,-984.31
2012-09,-946.95
2012-10,-1068.66
2012-11,-1119.01
2012-12,-1220.35
2013-01,-1289.04
2013-02,-1397.17
2013-03,-1135.95
2013-04,-1239.69
2013-05,-1247.7
2013-06,-1209.4
2013-07,-1300.65
2013-08,-1348.83
2013-09,-1399.28
2013-10,-1410.35
2013-11,-1456.25
2013-12,-1478.31
2014-01,-1505.62
2014-02,-1616.41
2014-03,-1536.53
2014-04,-1443.89
2014-05,-1486.34
2014-06,-1534.21
2014-07,-1361.63
2014-08,-1451.22
2014-09,-1526.95
2014-10,-1560.95
2014-11,-1678.45
2014-12,-1789.5
2015-01,-1828.8
2015-02,-1904.53
2015-03,-1874.87
2015-04,-1852.67
2015-05,-1779.22
2015-06,-1743.89
2015-07,-1898.43
2015-08,-1851.11
2015-09,-1894.2
2015-10,-1875.65
2015-11,-1885.23
2015-12,-1892.7
2016-01,-1918.8
2016-02,-1995
2016-03,-1930.13
2016-04,-1792.21
2016-05,-1776.79
2016-06,-1655.8
2016-07,-1602.79
2016-08,-1672.23
2016-09,-1586
2016-10,-1589.14
2016-11,-1593.16
2016-12,-1599.56
2017-01,-1606.11
2017-02,-1931.62
2017-03,-1850.99
2017-04,-1815.85
2017-05,-1814.34
2017-06,-1826.36
2017-07,-1856.25
2017-08,-1889.65
2017-09,-1895.32
2017-10,-1915.95
2017-11,-1929.78
2017-12,-1965.78
2018-01,-1984.45
2018-02,-1999.44
2018-03,-2258.93
2018-04,-2224.34
2018-05,-2277.92
2018-06,-2286.54
2018-07,-2291.32
2018-08,-2293.45
2018-09,-2312.82
2018-10,-2335.61
2018-11,-2347.94
2018-12,-2359.65
2019-01,-2368.66
2019-02,-2411.65
2019-03,-2315.96
2019-04,-2135.25
2019-05,-2187.12
2019-06,-2279.94
2019-07,-2183.65
2019-08,-2228.62
2019-09,-2100.59
2019-10,-2281.08
2019-11,-2341.65
2019-12,-2387.01
