Date,Downwelling global solar,Upwelling solar,Direct solar,PAR,UVB,Diffuse solar,Downwelling infrared,Upwelling infrared,Air temperature,Wind,Relative humidity,Station pressure,Net solar,Net infrared,Total net radiation,Conversion factor,Transmission,Albedo,Specific humidity,Virtual temperature
2010-01,113.19,22.51,171.46,48.36,10.24,45.69,271.9,346.41,7.43,3.4,50.59,903.54,90.69,-74.51,16.17,0.436,0.564,0.196,3.45,8.017
2010-02,160.52,31.54,216.36,68.68,16.83,52.95,280.56,360.59,8.83,2.86,55.79,901.98,128.98,-80.02,48.94,0.436,0.613,0.194,4.2,9.541
2010-03,228.24,45.68,268.88,96.17,29.48,73.9,271.79,382.27,11.67,4.32,34.66,902.74,182.56,-110.49,72.07,0.423,0.682,0.199,3.037,12.182
2010-04,289.19,58.7,320.56,125.43,43.18,82.5,285.58,408.13,14.5,4.94,30.6,898.44,230.53,-122.55,107.96,0.437,0.695,0.203,3.196,15.049
2010-05,337.68,68.51,404.24,146.49,56.52,66.08,298.21,439.41,18.38,5.27,22.6,898.62,269.2,-141.2,128.01,0.436,0.727,0.203,3.148,18.928
2010-06,361.02,74.2,436.7,157.7,69.21,60.95,342.23,495.04,27.64,4.86,17.36,897.47,286.83,-152.82,134.02,0.437,0.745,0.206,4.355,28.401
2010-07,339.62,70.09,399.97,149.37,68.43,67.21,375.83,524.21,32.51,4.15,14.82,897.43,269.54,-148.16,121.69,0.442,0.718,0.206,5.288,33.447
2010-08,330.57,67.38,438.29,144.52,60.29,45.02,-9999.9,-9999.9,-9999.9,4.97,-9999.9,897.86,262.41,-9999.9,-9999.9,0.437,0.756,0.204,-9999.9,-9999.9
2010-09,276.75,59.72,408.54,119.05,46.55,36.85,324.11,473.62,26.35,3.47,14.06,899.17,217.03,-148.05,71.3,0.43,0.76,0.216,3.283,26.924
2010-10,176.19,36.31,233.63,78.14,25.6,56.2,319.78,417.23,18.38,3.39,39.87,903.8,139.91,-97.43,42.5,0.45,0.621,0.203,5.595,19.352
2010-11,151.78,32.29,289.45,65.51,15.96,32.07,266.33,369.85,10.72,4.54,34.97,905.08,119.53,-103.51,16.01,0.434,0.708,0.21,3.195,11.263
2010-12,95.85,19.51,152.26,42.28,9.48,38.15,287.59,353.17,8.51,3.34,56.74,903.57,76.38,-65.58,10.79,0.455,0.532,0.201,4.369,9.257
2011-01,29.06,256.53,59.12,13.4,35.67,257.52,347.08,354,3.22,44.13,907.57,107.75,-89.56,18.29,0.435,0.691,0.212,3.037,8.009,
2011-02,188.54,40.01,312.99,81.13,20.55,40.64,251.33,355.97,7.61,4.6,38.54,904.03,148.57,-104.65,43.91,0.432,0.724,0.211,2.728,8.071
2011-03,225.7,46.85,263.46,98.6,31.76,75.21,279.63,386.77,12.29,4.46,36.71,902.15,178.88,-107.15,71.73,0.439,0.663,0.207,3.45,12.881
2011-04,298.33,61.78,361.09,128.5,49.52,66.18,283.68,417.09,15.7,4.82,25.98,899.53,236.59,-133.41,103.15,0.433,0.73,0.207,3.125,16.234
2011-05,318.13,63.8,354.81,137.43,57.65,80.86,300.91,435.09,18.38,4.77,27.2,898.03,254.37,-134.18,120.19,0.437,0.685,0.199,3.628,19.006
2011-06,371.22,75.28,462.87,159.83,72.5,52.86,324.48,484.02,25.8,4.8,16.69,896.63,295.96,-159.54,136.39,0.431,0.764,0.203,3.783,26.463
2011-07,315.76,63.46,365.09,138.7,65.51,71.57,366.51,499.66,29.75,4.17,22.75,898.2,252.33,-133.16,119.18,0.445,0.67,0.199,6.466,30.898
2011-08,323.94,65,422.91,139.82,63.33,48.95,354.92,502.03,30.6,3.7,17.35,898.97,258.96,-147.11,111.85,0.433,0.751,0.2,5.14,31.509
2011-09,250.13,50.55,320.61,108.61,42.52,59.28,343.05,470.46,26.21,2.89,23.2,901.59,199.62,-127.41,72.26,0.438,0.685,0.201,5.073,27.097
2011-10,205.09,42.28,329.31,87.97,29.28,38.89,303.01,419.77,19.3,3.41,24.47,902.79,162.85,-116.81,46.15,0.433,0.72,0.205,3.666,19.933
2011-11,141.11,29.58,237.5,60.36,14.89,42.1,267.94,361.94,9.82,3.08,37.82,904.72,111.56,-94,17.55,0.432,0.659,0.207,2.975,10.324
2011-12,123.23,26.46,246.91,52.42,9.78,30.92,251.36,342.09,6.6,3.53,33.27,907.39,96.82,-90.73,6.09,0.429,0.682,0.211,2.133,6.953
2012-01,139.41,29.63,264.89,59.39,12.18,35.51,256.83,351.95,8.73,3.4,26.89,907.68,109.8,-95.13,14.68,0.43,0.7,0.21,2.019,9.069
2012-02,177.9,36.77,272.38,75.97,18.35,49.39,266.03,364.54,9.29,3.73,35.65,903.45,141.17,-98.5,42.68,0.431,0.684,0.204,2.695,9.769
2012-03,230.19,47.91,282.64,99.66,32.18,69.18,277.84,388.96,13.09,4.73,29.03,901.05,182.31,-111.09,71.25,0.436,0.687,0.207,2.896,13.58
2012-04,296.52,61.25,345.88,129.55,49.26,70.75,296.04,424.67,17.58,4.44,24.61,900.25,235.31,-128.62,106.67,0.44,0.711,0.206,3.169,18.144
2012-05,364.31,76.13,446.85,157.66,65.42,57.33,308.81,468.77,23.7,4.86,13.25,897.74,288.2,-159.96,128.23,0.433,0.781,0.209,2.585,24.146
2012-06,384.22,81.24,501.05,166.45,75.43,43.02,328.91,497.45,28.46,5.17,10.86,896.54,303,-168.55,134.51,0.433,0.794,0.211,2.947,28.977
2012-07,322.5,66.57,379.94,143.89,64.99,67.8,367.65,503.87,29.91,3.97,22.33,899.94,255.97,-136.22,119.75,0.452,0.686,0.205,6.134,31.001
2012-08,294.32,59.05,339.31,132.97,58,70.26,389.21,508.68,30.81,3.67,29.72,900.3,235.33,-119.47,115.87,0.457,0.683,0.2,8.631,32.349
2012-09,259.29,52.98,341.35,114.82,44.64,55.07,349.2,477.24,27.17,3.2,20.87,902.51,206.33,-128.04,78.29,0.445,0.711,0.204,5.131,28.074
